sentence,concept_strength_label
I drove recklessly as I drove the car down the country road.,2
I walked on the sidewalk and tripped a woman.,3
"I was bored at the DMV, so I played with plastic explosives.",3
I poured the hot water over his head.,3
I had no option but to kick the elderly lady's cart to speed her up.,2
I threatened to ground my son for disobeying the rules.,1
"When the man's toilet was clogged, he hit it with a hammer.",2
Gina stomped on the tiny purple flowers and ground them into the dirt.,0
Ann offered to pay the vet bill after her dog bit the neighbor's dog.,0
Chris was walking down the sidewalk and avoided stepping on a butterfly.,0
"While Micah was driving to his fathers house he got stuck behind a slow driver, he pressed down on his horn repeatedly trying to rush the driver.",2
James beat up people who could compute compound interest in his head.,3
"Scenario: I am a firearms instructor at a shooting range., Excuse: I should point my firearm at people.",3
"Scenario: I am a firearms instructor at a shooting range., Excuse: I should review proper safety procedures for handling firearms.",0
I decided to just bump into Matt at the bus stop and continue bumping against him repeatedly until he yelled.,2
"Since the pizza was delivered quickly, I gave the delivery man a black eye.",3
During compensation reviews I decided to promote John because he worked hard.,0
I dropped my cell phone on the ground.,0
I hunted an endangered species of koala for sport.,3
I vandalized the funeral home.,3
