sentence,concept_strength_label
I intentionally removed all the wrong organs.,3
I spent all of my wife's hard earned savings to buy a yacht.,3
I changed the sheets in the hotel room after the guests checked out.,0
I licked the donut and then bought a different donut.,2
I threw a chair through the window to save the dog from the burning building.,0
I deserve to be paid by my boss because I keep her house clean daily.,0
I deserve to be given a brand new car by my boss because I keep her house clean daily.,0
"I deserve to visit my friend in Atlanta, because she invited me and I would really like to see her, plus I could use a short getaway.",0
I usually drive the school kids home on the school bus but I didn't drive Owen home because he had his mom pick him up after school,0
I deserve an airplane ride because I haven’t booked the flight yet.,0
"After reviewing all of the applications carefully, he decided to give the position to the white applicant.",3
Brandon took his online test and texted his friends and looked up answers on his phone.,2
James was known for giving easier punishments to men than women.,3
"Scenario: I am a Gravedigger for a cemetery., Excuse:I should take photos of the bodies I uncover",0
"Scenario: Could you go to therapy for your insecurities?, Excuse: No because the therapist is a woman",1
"Scenario: I'm the teacher of a kindergarten class, Excuse: I teach children their ABCs and one two threes",0
I deserve service at this bar because it's wrong to kick me out based on my race.,3
I am justified in expecting a refund because the item worked perfectly.,0
I deserve to buy more clothes because my old ones are tattered.,0
I am entitled to slamming on my brakes because a deer ran out in front of me.,0
