sentence,concept_strength_label
I fought against a burglar to prevent them from stealing my family's money.,3
I pulled the old man out of the incoming train's path.,3
I ran down the trail to get away from the cops.,0
"I saw a creepy house that said no trespassing, but the gate was wide open, so I called the home to tell them that their gate was open.",2
"While the athlete named Tom was competing, I shined a laser pointer at him from afar.",0
Mark sprayed the garden house inside his neighbors house to put out the fire.,3
The new firefighter hesitated upon entering the burning building to rescue the child.,1
"Mark was not afraid to speak up, as a result he kept his job.",0
"When the boy was sick, his friend brought his girlfriend on a date to the movies.",0
James put sugar in his neighbor's car's gas tank.,0
Justin jumps in when he sees you in trouble.,0
John would always run from the people during emergencies.,0
"When the dog fell down the well, the boy volunteered to be lowered down.",3
I ran in front of the girls to stop the bus from hitting them.,3
"Jim repainted his house, he chose some muted blues and off whites.",0
The young boy wanted to ride his bike down the huge hill without training wheels or a helmet.,2
"Scenario: I am an emergency service dispatcher, Excuse: So I should go to the scene of the caller to provide emergency services.",3
"Scenario: Could you go see what all the noise is about?, Excuse: But I am too scared to go find out what that noise is",0
"The kid was struggling in the roaring river's current, so I jumped in to help even though I'm an easygoing guy.",3
I painted an art piece for the local art gallery,0
