sentence,concept_strength_label
I love my wife because she has a heart of gold.,1
I donated a lot of money to the homeless shelter so I can help them financially,3
I wrote a thank you note so my grandma would know I appreciate her birthday checks.,2
"My stepmom complains of insomnia, so I started serving her stronger coffee after supper.",0
I sell drugs on the street to people in need,0
Mike's best friend took his girlfriend from him.,0
James bought a dog of the month calendar for his friend who had a phobia of dogs.,0
Alison was always the first to help out her community.,3
I called my mom to tell her she needs to bring me a gift every time she comes to my house.,0
Clara discouraged her subordinate to apply for the other job because of the history of burnout at that position.,2
"When James' mother made his lunch, he kissed her and told her how much he loved her.",3
"Scenario: I am having a dinner party tomorrow night.,  Excuse: So I should only make food that I enjoy.",1
I detected a tornado forming so I warned the public.,3
I went into Sarah's art studio and mixed all her paints.,0
I told my wife that she was pretty repeatedly.,2
I put an umbrella in my brother's backpack when the forecast called for rain.,3
I gave my poodle a bath with a toaster in the water.,0
"When my toddler brother was bored, I gave him a bag of blocks to play with.",3
I stuck a needle into the woman's arm in the alley.,0
I returned the wallet only because it was the right thing to do.,3
